n_clust,som_dim,amd_bin,experiment_name
23,80,0-4000,exp3_som+kmeans_unit_norm
8,30,0-4000,exp3_som+kmeans_zero-one
11,30,0-4000,exp3_som+kmeans_zero-one
14,30,0-4000,exp3_som+kmeans_zero-one
17,30,0-4000,exp3_som+kmeans_zero-one
47,30,0-4000,exp3_som+kmeans_zero-one
11,40,0-4000,exp3_som+kmeans_zero-one
14,40,0-4000,exp3_som+kmeans_zero-one
32,40,0-4000,exp3_som+kmeans_zero-one
41,40,0-4000,exp3_som+kmeans_zero-one
53,40,0-4000,exp3_som+kmeans_zero-one
8,50,0-4000,exp3_som+kmeans_zero-one
11,50,0-4000,exp3_som+kmeans_zero-one
14,50,0-4000,exp3_som+kmeans_zero-one
17,50,0-4000,exp3_som+kmeans_zero-one
41,50,0-4000,exp3_som+kmeans_zero-one
5,60,0-4000,exp3_som+kmeans_zero-one
8,60,0-4000,exp3_som+kmeans_zero-one
17,60,0-4000,exp3_som+kmeans_zero-one
20,60,0-4000,exp3_som+kmeans_zero-one
23,60,0-4000,exp3_som+kmeans_zero-one
5,70,0-4000,exp3_som+kmeans_zero-one
8,70,0-4000,exp3_som+kmeans_zero-one
11,70,0-4000,exp3_som+kmeans_zero-one
14,70,0-4000,exp3_som+kmeans_zero-one
17,70,0-4000,exp3_som+kmeans_zero-one
5,80,0-4000,exp3_som+kmeans_zero-one
11,80,0-4000,exp3_som+kmeans_zero-one
20,80,0-4000,exp3_som+kmeans_zero-one
44,80,0-4000,exp3_som+kmeans_zero-one
47,80,0-4000,exp3_som+kmeans_zero-one
5,30,0-4000,exp3_som+kmeans_demin
8,30,0-4000,exp3_som+kmeans_demin
11,30,0-4000,exp3_som+kmeans_demin
14,30,0-4000,exp3_som+kmeans_demin
20,30,0-4000,exp3_som+kmeans_demin
5,40,0-4000,exp3_som+kmeans_demin
8,40,0-4000,exp3_som+kmeans_demin
11,40,0-4000,exp3_som+kmeans_demin
14,40,0-4000,exp3_som+kmeans_demin
29,40,0-4000,exp3_som+kmeans_demin
5,50,0-4000,exp3_som+kmeans_demin
8,50,0-4000,exp3_som+kmeans_demin
11,50,0-4000,exp3_som+kmeans_demin
14,50,0-4000,exp3_som+kmeans_demin
17,50,0-4000,exp3_som+kmeans_demin
5,60,0-4000,exp3_som+kmeans_demin
8,60,0-4000,exp3_som+kmeans_demin
11,60,0-4000,exp3_som+kmeans_demin
14,60,0-4000,exp3_som+kmeans_demin
17,60,0-4000,exp3_som+kmeans_demin
5,70,0-4000,exp3_som+kmeans_demin
8,70,0-4000,exp3_som+kmeans_demin
11,70,0-4000,exp3_som+kmeans_demin
14,70,0-4000,exp3_som+kmeans_demin
17,70,0-4000,exp3_som+kmeans_demin
5,80,0-4000,exp3_som+kmeans_demin
8,80,0-4000,exp3_som+kmeans_demin
11,80,0-4000,exp3_som+kmeans_demin
14,80,0-4000,exp3_som+kmeans_demin
17,80,0-4000,exp3_som+kmeans_demin
2,0,0-1,exp4_kmeans
3,0,0-1,exp4_kmeans
4,0,0-1,exp4_kmeans
5,0,0-1,exp4_kmeans
9,0,0-1,exp4_kmeans
2,0,1-50,exp4_kmeans
3,0,1-50,exp4_kmeans
4,0,1-50,exp4_kmeans
6,0,1-50,exp4_kmeans
8,0,1-50,exp4_kmeans
2,0,50-150,exp4_kmeans
3,0,50-150,exp4_kmeans
4,0,50-150,exp4_kmeans
5,0,50-150,exp4_kmeans
6,0,50-150,exp4_kmeans
2,0,150-400,exp4_kmeans
3,0,150-400,exp4_kmeans
4,0,150-400,exp4_kmeans
5,0,150-400,exp4_kmeans
7,0,150-400,exp4_kmeans
2,0,400-600,exp4_kmeans
3,0,400-600,exp4_kmeans
4,0,400-600,exp4_kmeans
5,0,400-600,exp4_kmeans
6,0,400-600,exp4_kmeans
2,0,600-1200,exp4_kmeans
3,0,600-1200,exp4_kmeans
4,0,600-1200,exp4_kmeans
5,0,600-1200,exp4_kmeans
8,0,600-1200,exp4_kmeans
2,0,1200-2500,exp4_kmeans
3,0,1200-2500,exp4_kmeans
4,0,1200-2500,exp4_kmeans
6,0,1200-2500,exp4_kmeans
9,0,1200-2500,exp4_kmeans
2,0,2500-4000,exp4_kmeans
4,0,2500-4000,exp4_kmeans
5,0,2500-4000,exp4_kmeans
6,0,2500-4000,exp4_kmeans
7,0,2500-4000,exp4_kmeans
2,0,0-1,exp4_kmeans_unit_norm
3,0,0-1,exp4_kmeans_unit_norm
4,0,0-1,exp4_kmeans_unit_norm
8,0,0-1,exp4_kmeans_unit_norm
9,0,0-1,exp4_kmeans_unit_norm
4,0,1-50,exp4_kmeans_unit_norm
6,0,1-50,exp4_kmeans_unit_norm
7,0,1-50,exp4_kmeans_unit_norm
8,0,1-50,exp4_kmeans_unit_norm
9,0,1-50,exp4_kmeans_unit_norm
4,0,50-150,exp4_kmeans_unit_norm
6,0,50-150,exp4_kmeans_unit_norm
7,0,50-150,exp4_kmeans_unit_norm
8,0,50-150,exp4_kmeans_unit_norm
9,0,50-150,exp4_kmeans_unit_norm
5,0,150-400,exp4_kmeans_unit_norm
6,0,150-400,exp4_kmeans_unit_norm
7,0,150-400,exp4_kmeans_unit_norm
8,0,150-400,exp4_kmeans_unit_norm
9,0,150-400,exp4_kmeans_unit_norm
2,0,400-600,exp4_kmeans_unit_norm
4,0,400-600,exp4_kmeans_unit_norm
5,0,400-600,exp4_kmeans_unit_norm
6,0,400-600,exp4_kmeans_unit_norm
8,0,400-600,exp4_kmeans_unit_norm
2,0,600-1200,exp4_kmeans_unit_norm
3,0,600-1200,exp4_kmeans_unit_norm
4,0,600-1200,exp4_kmeans_unit_norm
7,0,600-1200,exp4_kmeans_unit_norm
8,0,600-1200,exp4_kmeans_unit_norm
2,0,1200-2500,exp4_kmeans_unit_norm
3,0,1200-2500,exp4_kmeans_unit_norm
4,0,1200-2500,exp4_kmeans_unit_norm
5,0,1200-2500,exp4_kmeans_unit_norm
7,0,1200-2500,exp4_kmeans_unit_norm
2,0,2500-4000,exp4_kmeans_unit_norm
3,0,2500-4000,exp4_kmeans_unit_norm
4,0,2500-4000,exp4_kmeans_unit_norm
6,0,2500-4000,exp4_kmeans_unit_norm
8,0,2500-4000,exp4_kmeans_unit_norm
2,0,0-1,exp4_kmeans_zero-one
3,0,0-1,exp4_kmeans_zero-one
4,0,0-1,exp4_kmeans_zero-one
5,0,0-1,exp4_kmeans_zero-one
8,0,0-1,exp4_kmeans_zero-one
2,0,1-50,exp4_kmeans_zero-one
3,0,1-50,exp4_kmeans_zero-one
4,0,1-50,exp4_kmeans_zero-one
5,0,1-50,exp4_kmeans_zero-one
8,0,1-50,exp4_kmeans_zero-one
2,0,50-150,exp4_kmeans_zero-one
3,0,50-150,exp4_kmeans_zero-one
5,0,50-150,exp4_kmeans_zero-one
7,0,50-150,exp4_kmeans_zero-one
8,0,50-150,exp4_kmeans_zero-one
2,0,150-400,exp4_kmeans_zero-one
4,0,150-400,exp4_kmeans_zero-one
5,0,150-400,exp4_kmeans_zero-one
7,0,150-400,exp4_kmeans_zero-one
9,0,150-400,exp4_kmeans_zero-one
2,0,400-600,exp4_kmeans_zero-one
3,0,400-600,exp4_kmeans_zero-one
6,0,400-600,exp4_kmeans_zero-one
7,0,400-600,exp4_kmeans_zero-one
8,0,400-600,exp4_kmeans_zero-one
2,0,600-1200,exp4_kmeans_zero-one
3,0,600-1200,exp4_kmeans_zero-one
5,0,600-1200,exp4_kmeans_zero-one
6,0,600-1200,exp4_kmeans_zero-one
7,0,600-1200,exp4_kmeans_zero-one
2,0,1200-2500,exp4_kmeans_zero-one
3,0,1200-2500,exp4_kmeans_zero-one
4,0,1200-2500,exp4_kmeans_zero-one
6,0,1200-2500,exp4_kmeans_zero-one
8,0,1200-2500,exp4_kmeans_zero-one
2,0,2500-4000,exp4_kmeans_zero-one
3,0,2500-4000,exp4_kmeans_zero-one
4,0,2500-4000,exp4_kmeans_zero-one
6,0,2500-4000,exp4_kmeans_zero-one
8,0,2500-4000,exp4_kmeans_zero-one
2,0,0-1,exp4_kmeans_demin
3,0,0-1,exp4_kmeans_demin
4,0,0-1,exp4_kmeans_demin
6,0,0-1,exp4_kmeans_demin
7,0,0-1,exp4_kmeans_demin
3,0,1-50,exp4_kmeans_demin
5,0,1-50,exp4_kmeans_demin
6,0,1-50,exp4_kmeans_demin
7,0,1-50,exp4_kmeans_demin
9,0,1-50,exp4_kmeans_demin
3,0,50-150,exp4_kmeans_demin
4,0,50-150,exp4_kmeans_demin
5,0,50-150,exp4_kmeans_demin
7,0,50-150,exp4_kmeans_demin
9,0,50-150,exp4_kmeans_demin
3,0,150-400,exp4_kmeans_demin
5,0,150-400,exp4_kmeans_demin
6,0,150-400,exp4_kmeans_demin
8,0,150-400,exp4_kmeans_demin
9,0,150-400,exp4_kmeans_demin
5,0,400-600,exp4_kmeans_demin
6,0,400-600,exp4_kmeans_demin
7,0,400-600,exp4_kmeans_demin
8,0,400-600,exp4_kmeans_demin
9,0,400-600,exp4_kmeans_demin
2,0,600-1200,exp4_kmeans_demin
3,0,600-1200,exp4_kmeans_demin
5,0,600-1200,exp4_kmeans_demin
7,0,600-1200,exp4_kmeans_demin
8,0,600-1200,exp4_kmeans_demin
2,0,1200-2500,exp4_kmeans_demin
3,0,1200-2500,exp4_kmeans_demin
4,0,1200-2500,exp4_kmeans_demin
5,0,1200-2500,exp4_kmeans_demin
6,0,1200-2500,exp4_kmeans_demin
2,0,2500-4000,exp4_kmeans_demin
3,0,2500-4000,exp4_kmeans_demin
4,0,2500-4000,exp4_kmeans_demin
5,0,2500-4000,exp4_kmeans_demin
7,0,2500-4000,exp4_kmeans_demin
2,0,0-1,exp4_kmeans_sa_norm
3,0,0-1,exp4_kmeans_sa_norm
4,0,0-1,exp4_kmeans_sa_norm
8,0,0-1,exp4_kmeans_sa_norm
9,0,0-1,exp4_kmeans_sa_norm
2,0,1-50,exp4_kmeans_sa_norm
3,0,1-50,exp4_kmeans_sa_norm
4,0,1-50,exp4_kmeans_sa_norm
7,0,1-50,exp4_kmeans_sa_norm
9,0,1-50,exp4_kmeans_sa_norm
2,0,50-150,exp4_kmeans_sa_norm
3,0,50-150,exp4_kmeans_sa_norm
4,0,50-150,exp4_kmeans_sa_norm
6,0,50-150,exp4_kmeans_sa_norm
8,0,50-150,exp4_kmeans_sa_norm
2,0,150-400,exp4_kmeans_sa_norm
5,0,150-400,exp4_kmeans_sa_norm
6,0,150-400,exp4_kmeans_sa_norm
7,0,150-400,exp4_kmeans_sa_norm
8,0,150-400,exp4_kmeans_sa_norm
